datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,Price Data,Load Data,price
8/1/2019 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3996.49,19.278333,4,0.019278333
8/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3780.192,18.181667,4,0.018181667
8/1/2019 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3657.347,16.665833,4,0.016665833
8/1/2019 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3579.487,15.8025,4,0.0158025
8/1/2019 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3569.723,15.764167,4,0.015764167
8/1/2019 5:00:00 AM,RFC,WEST,AEP,AEPAPT,3694.94,18.970833,4,0.018970833
8/1/2019 6:00:00 AM,RFC,WEST,AEP,AEPAPT,3876.626,19.16,4,0.01916
8/1/2019 7:00:00 AM,RFC,WEST,AEP,AEPAPT,4069.562,20.544167,4,0.020544167
8/1/2019 8:00:00 AM,RFC,WEST,AEP,AEPAPT,4274.242,22.699167,4,0.022699167
8/1/2019 9:00:00 AM,RFC,WEST,AEP,AEPAPT,4541.33,24.088333,5,0.024088333
8/1/2019 10:00:00 AM,RFC,WEST,AEP,AEPAPT,4921.07,24.323333,5,0.024323333
8/1/2019 11:00:00 AM,RFC,WEST,AEP,AEPAPT,5248.471,24.939167,5,0.024939167
8/1/2019 12:00:00 PM,RFC,WEST,AEP,AEPAPT,5505.212,25.763333,6,0.025763333
8/1/2019 1:00:00 PM,RFC,WEST,AEP,AEPAPT,5790.458,29.536667,6,0.029536667
8/1/2019 2:00:00 PM,RFC,WEST,AEP,AEPAPT,5969.598,28.215833,6,0.028215833
8/1/2019 3:00:00 PM,RFC,WEST,AEP,AEPAPT,6004.827,29.496667,6,0.029496667
8/1/2019 4:00:00 PM,RFC,WEST,AEP,AEPAPT,5859.258,39.986667,6,0.039986667
8/1/2019 5:00:00 PM,RFC,WEST,AEP,AEPAPT,5721.2,53.2075,6,0.0532075
8/1/2019 6:00:00 PM,RFC,WEST,AEP,AEPAPT,5550.963,30.195,6,0.030195
8/1/2019 7:00:00 PM,RFC,WEST,AEP,AEPAPT,5276.587,32.010833,5,0.032010833
8/1/2019 8:00:00 PM,RFC,WEST,AEP,AEPAPT,5048.72,29.783333,5,0.029783333
8/1/2019 9:00:00 PM,RFC,WEST,AEP,AEPAPT,4901.347,27.065833,5,0.027065833
8/1/2019 10:00:00 PM,RFC,WEST,AEP,AEPAPT,4582.842,21.699167,5,0.021699167
8/1/2019 11:00:00 PM,RFC,WEST,AEP,AEPAPT,4247.62,20.853333,4,0.020853333
