pnode_name,type,demand,Price Data,Month,Date,Time,Load Data (APT),Load Data (IPT),Load Data (KPT),Load Data (OPT)
AEP,ZONE,6787.226,259.89,1,1,2018 12:00:00 AM,7,3,1,7
AEP,ZONE,6909.472,112.93,1,1,2018 1:00:00 AM,7,3,1,7
AEP,ZONE,7004.748,192.67,1,1,2018 2:00:00 AM,7,3,1,7
AEP,ZONE,7093.771,103.43,1,1,2018 3:00:00 AM,7,3,1,7
AEP,ZONE,7244.769,214.03,1,1,2018 4:00:00 AM,7,3,1,7
AEP,ZONE,7417.118,136.37,1,1,2018 5:00:00 AM,7,3,1,7
AEP,ZONE,7582.691,83.37,1,1,2018 6:00:00 AM,8,3,1,8
AEP,ZONE,7713.16,86.46,1,1,2018 7:00:00 AM,8,3,1,8
AEP,ZONE,7690.264,75.66,1,1,2018 8:00:00 AM,8,3,1,8
AEP,ZONE,7445.724,40.39,1,1,2018 9:00:00 AM,7,3,1,8
AEP,ZONE,7214.266,89.81,1,1,2018 10:00:00 AM,7,3,1,8
AEP,ZONE,6997.24,110.75,1,1,2018 11:00:00 AM,7,4,1,8
AEP,ZONE,6839.648,85.49,1,1,2018 12:00:00 PM,7,3,1,8
AEP,ZONE,6692.064,71.18,1,1,2018 1:00:00 PM,7,3,1,7
AEP,ZONE,6600.701,71.43,1,1,2018 2:00:00 PM,7,3,1,8
AEP,ZONE,6601.923,72.05,1,1,2018 3:00:00 PM,7,3,1,8
AEP,ZONE,6783.662,123.41,1,1,2018 4:00:00 PM,7,3,1,8
AEP,ZONE,7215.177,164.49,1,1,2018 5:00:00 PM,7,4,1,8
AEP,ZONE,7431.221,177.11,1,1,2018 6:00:00 PM,7,4,1,8
AEP,ZONE,7563.863,199.03,1,1,2018 7:00:00 PM,8,4,1,8
AEP,ZONE,7611.649,149.21,1,1,2018 8:00:00 PM,8,4,1,8
AEP,ZONE,7568.29,124.29,1,1,2018 9:00:00 PM,8,4,1,8
AEP,ZONE,7483.765,79.79,1,1,2018 10:00:00 PM,7,4,1,8
AEP,ZONE,7416.914,100.08,1,1,2018 11:00:00 PM,7,4,1,8
AEP,ZONE,7413.781,169.83,1,2,2018 12:00:00 AM,7,3,1,8
AEP,ZONE,7498.66,164.77,1,2,2018 1:00:00 AM,7,3,1,8
AEP,ZONE,7625.224,309.11,1,2,2018 2:00:00 AM,8,3,1,8
AEP,ZONE,7758.472,165.32,1,2,2018 3:00:00 AM,8,3,1,8
AEP,ZONE,7924.009,121.87,1,2,2018 4:00:00 AM,8,3,1,8
AEP,ZONE,8208.981,161.42,1,2,2018 5:00:00 AM,8,4,1,8
AEP,ZONE,8571.547,192.17,1,2,2018 6:00:00 AM,9,4,1,8
AEP,ZONE,8820.496,170.06,1,2,2018 7:00:00 AM,9,4,1,9
AEP,ZONE,8704.351,165.13,1,2,2018 8:00:00 AM,9,4,1,9
AEP,ZONE,8299.754,116.78,1,2,2018 9:00:00 AM,8,4,1,9
AEP,ZONE,7873.918,126.98,1,2,2018 10:00:00 AM,8,4,1,9
AEP,ZONE,7419.091,132.94,1,2,2018 11:00:00 AM,7,4,1,9
AEP,ZONE,7051.16,134.28,1,2,2018 12:00:00 PM,7,4,1,9
AEP,ZONE,6760.212,77.38,1,2,2018 1:00:00 PM,7,4,1,8
AEP,ZONE,6528.242,96.97,1,2,2018 2:00:00 PM,7,4,1,8
AEP,ZONE,6408.578,101.66,1,2,2018 3:00:00 PM,6,4,1,8
AEP,ZONE,6556.597,136.64,1,2,2018 4:00:00 PM,7,4,1,8
AEP,ZONE,7095.774,134.21,1,2,2018 5:00:00 PM,7,4,1,9
AEP,ZONE,7417.444,179.22,1,2,2018 6:00:00 PM,7,4,1,9
AEP,ZONE,7562.071,124.24,1,2,2018 7:00:00 PM,8,4,1,9
AEP,ZONE,7648.124,157.21,1,2,2018 8:00:00 PM,8,4,1,9
