datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,Price Data,congestion_price_rt,marginal_loss_price_rt,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,demand,is_verified
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,8445784,AEP,,,AGGREGATE,,25.43,25.186626,-0.19081,-0.052565,25.02,24.697796,0.418742,-0.740946,1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4237.886,TRUE
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,8445784,AEP,,,AGGREGATE,,25.76,25.359949,-0.401628,0.001577,24.32,24.029808,0.367117,-0.657309,1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4145.148,TRUE
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,8445784,AEP,,,AGGREGATE,,24.29,24.065249,-0.306707,0.081956,24.17,23.913461,0.436095,-0.692634,1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4088.08,TRUE
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,8445784,AEP,,,AGGREGATE,,23.74,23.467125,-0.443171,0.170296,23.95,23.747826,0.512218,-0.714392,1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,RFC,WEST,AEP,AEPAPT,4040.053,TRUE
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,8445784,AEP,,,AGGREGATE,,23.33,23.096256,-0.390527,0.156784,24.09,23.849965,0.496843,-0.736878,1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,RFC,WEST,AEP,AEPAPT,4083.822,TRUE
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,8445784,AEP,,,AGGREGATE,,23.72,23.550239,-0.275688,0.105927,24.24,23.935454,0.570373,-0.874919,1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,RFC,WEST,AEP,AEPAPT,4121.373,TRUE
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,8445784,AEP,,,AGGREGATE,,23.29,22.93178,-0.399927,0.041707,25.2,24.939322,0.69055,-0.951228,1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,RFC,WEST,AEP,AEPAPT,4210.193,TRUE
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,8445784,AEP,,,AGGREGATE,,24.39,24.135003,-0.217828,-0.037169,25.86,25.753435,0.711549,-0.818114,1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,RFC,WEST,AEP,AEPAPT,4368.142,TRUE
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,8445784,AEP,,,AGGREGATE,,24.94,24.969266,0.072334,-0.043069,26.13,25.722978,0.444543,-0.851565,1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,RFC,WEST,AEP,AEPAPT,4462.789,TRUE
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,8445784,AEP,,,AGGREGATE,,24.9,25.041261,0.233066,-0.091805,27,26.471896,0.299145,-0.827249,1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,RFC,WEST,AEP,AEPAPT,4448.686,TRUE
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,8445784,AEP,,,AGGREGATE,,24.16,24.386178,0.321505,-0.095327,27.25,26.588166,0.148205,-0.810039,1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,RFC,WEST,AEP,AEPAPT,4284.231,TRUE
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,8445784,AEP,,,AGGREGATE,,23.2,23.742146,0.566821,-0.024675,27.11,26.388107,0.073006,-0.794899,1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,RFC,WEST,AEP,AEPAPT,4151.364,TRUE
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,8445784,AEP,,,AGGREGATE,,23.3,23.648184,0.412763,-0.064579,25.98,25.383914,0.093859,-0.689945,1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,RFC,WEST,AEP,AEPAPT,4054.202,TRUE
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,8445784,AEP,,,AGGREGATE,,23,23.332761,0.405395,-0.072634,25.42,24.978336,0.115389,-0.557053,1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,RFC,WEST,AEP,AEPAPT,3989.062,TRUE
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,8445784,AEP,,,AGGREGATE,,22.66,22.999155,0.415439,-0.076285,25.21,24.861288,0.126396,-0.475108,1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,RFC,WEST,AEP,AEPAPT,3930.879,TRUE
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,8445784,AEP,,,AGGREGATE,,22.76,22.721563,0.035124,-0.073561,25.34,24.926378,0.101909,-0.515531,1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,RFC,WEST,AEP,AEPAPT,3882.748,TRUE
